Issue_Size(crores),QIB,HNI,RII,Offer Price,Month,Year,Demand_Gap,log_issue_size,Apply_Label,Nifty_Return_7d
153.05,9.94,32.24,14.72,166,8,2023,-4.780000000000001,5.037277225042677,1,0.1683052661038742
880.0,1.35,2.35,7.61,197,8,2023,-6.26,6.78105762593618,0,0.08080592804673437
1550.52,67.67,16.99,3.78,741,8,2023,63.89,7.346990374556236,1,-1.3320792094029366
1025.0,192.9,49.09,10.99,57,8,2023,181.91,6.933423025730715,1,-0.2664343905313338
686.55,85.1,37.22,8.34,300,8,2023,76.75999999999999,6.533134554168954,0,-0.31841264773065925
631.0,228.91,81.81,19.15,500,7,2023,209.76,6.448889394146858,1,-0.4524202659594634
500.0,124.85,81.64,72.11,25,7,2023,52.739999999999995,6.2166061010848646,1,1.8607801375992716
405.0,180.94,64.99,15.46,317,7,2023,165.48,6.0063531596017325,1,0.8557362682681591
592.0,90.44,45.05,49.22,265,7,2023,41.22,6.385194398997726,1,2.0229747321184544
567.25,125.81,80.58,85.2,672,7,2023,40.61,6.342561462732653,1,2.733642160695471
480.0,1.74,2.97,0.96,585,7,2023,0.78,6.175867270105761,0,3.2909369381367792
606.5,163.58,63.35,13.86,285,6,2023,149.72000000000003,6.409352175214703,1,0.5318673492897386
3200.0,0.0,0.0,0.0,100,5,2023,0.0,8.071218539969863,0,-0.6098750273398679
4326.36,49.16,3.8,0.92,1080,5,2023,48.239999999999995,8.372712935284994,1,1.9586795582363203
865.0,3.57,0.41,0.84,436,4,2023,2.73,6.763884908562435,0,0.5872262412381035
66.0,40.47,60.42,14.1,35,4,2023,26.369999999999997,4.204692619390966,0,1.4351202200284519
154.98,8.95,33.1,5.12,140,3,2023,3.829999999999999,5.049727793902352,1,0.19714261812455725
412.12,7.83,1.4,4.31,590,3,2023,3.5200000000000005,6.023738107658278,0,-1.6083663056149722
66.3,2.4,32.69,39.78,65,1,2023,-37.38,4.209160236650682,1,-2.0532045515264663
256.64,1.01,0.66,0.21,94,1,2023,0.8,5.55156326167869,0,0.15737018856776253
475.0,4.51,3.29,2.2,247,12,2022,2.3099999999999996,6.16541785423142,0,-0.5154036745679491
1500.0,4.17,0.23,1.36,366,12,2022,2.8099999999999996,7.313886831633462,0,-1.0568267746163595
552.0,8.71,1.32,0.59,506,12,2022,8.120000000000001,6.315358001522335,0,-4.573881257356804
345.6,4.1,1.48,0.4,270,12,2022,3.6999999999999997,5.848171377281505,0,-4.573881257356804
960.35,4.13,1.51,1.65,357,12,2022,2.48,6.868338546618346,0,-2.583030904046646
